nombreSofifa,nombrefbdb,idSofifa,idfbdb,similitud,idFinal
Thiago,Thiago Alcántara,189509,229,60.82,92
Mikel San José,Mikel Vesga,185132,5077,61.9,300
Mario Gaspar,Mario,192789,2296,64.55,313
Saúl,Saúl Ñíguez,208421,2266,60.82,410
Iraizoz,Ibai Gómez,114764,2491,57.77,415
Siqueira,Sidnei,173228,2314,56.07,553
Nacho Fernández,Nacho,200724,2247,57.74,706
Samuel,Samuel Chukwueze,201379,7208,60.82,736
Jairo,Jairo Samperio,205869,46,59.73,849
Verdú,Verza,147004,2180,60.27,931
L. Castro,Lucas,205633,8111,63.71,1092
J. Añor,Juankar,216468,2525,63.0,1138
Albentosa,Alberto Bueno,207997,4119,57.7,1356
Rubén,Rubén García,146996,2183,64.55,1358
Sabin Merino,Sabin,226215,2499,64.55,1529
Adrián González,Alejandro Gálvez,178616,112,64.38,1541
Adama,Adama Traoré,213956,900,64.55,1739
C. N'Jié,Clinton N&#039;Jie,212273,960,61.56,1997
Josep Señé,Jorge Sáenz,227990,7828,57.26,2081
U. Đurđević,Uros Djurdjevic,221430,1960,56.69,2157
Carlos Blanco,Carlo Pinsoglio,224566,6107,57.76,2297
Javi Muñoz,Javi Sánchez,226157,7245,58.6,2362
Jordan,Jorge Sáenz,227992,7828,60.28,2367
Álex Carmona,Álex Martínez,205652,5040,60.79,2558
Óscar Pinchi,Óscar,229865,2468,64.55,2618
Álvaro Tejero,Álvaro Arbeloa,231856,1704,63.11,2619
Curro Sánchez,Curro,231733,2066,61.98,2629
Borja González,Borja Garcés,231854,7131,63.62,2698
A. Niane,Antonio Mance,212428,7414,59.17,2820
M. Sarr,Musa Barrow,227966,6512,63.12,3005
Samu Casado,Samu García,226288,2300,59.74,3006
Yeray,Yeray Álvarez,227950,5062,61.98,3060
José Rodríguez,José Rodríguez,210111,4036,100.0,3165
Kike,Kike García,192678,5074,60.82,3227
Marlon Santos,Michael Santos,215703,5145,100.0,3276
Tano Bonnin,Tano,198579,5171,60.82,3286
Matheus Pereira,Matheus Pereira,229337,1327,100.0,3428
André Moreira,Andrés Solano,224953,7133,55.98,3444
A. Doffo,Aldo One,228809,6471,58.28,3622
Robert Costa,Robert Mazán,213745,6481,62.08,3643
S. Molina,Simon Kjaer,219759,4699,56.29,3673
P. Estupiñán,Pepín,237942,1946,62.58,3698
José Ángel,Jon Serantes,236731,5203,64.36,3745
Pablo Larrea,Pau Torres,235971,6221,57.34,3781
Joel Arimany,Joel Coleman,231166,6041,61.29,3984
T. Ndombele,Tanguy NDombele Alvaro,235569,5962,62.31,4120
Borja García,Borja,194761,4070,64.55,4131
Bruno Saltor,Bruno,145047,6046,64.55,4236
Hernani,Hernani,225475,5509,100.0,4244
P. Etebo,Pelé,234457,6847,59.06,4263
D. Djené,Djené Dakonam,217940,6151,55.57,4271
J. Dompé Diarra,Jaime Sierra,224970,6515,55.59,4397
Zhang Yuning,Zhang Chengdong,228017,2576,60.13,4440
Koke Vegas,Koke,236301,6495,63.87,4499
H. Mahou,Hicham Mahou,239003,5751,97.18,4546
Adrián López,Adrià Pedrosa,241013,7174,59.52,4634
Álex Domínguez,Álex López,243201,6934,61.49,4635
Sergi,Sergio Camello,240337,7528,59.73,4667
S. Nsoki,Stanley N&#039;Soki,241941,6436,64.79,4845
Raúl Uche,Raúl Baena,235030,2488,57.0,4863
De Tomás,Diego Mainz,210315,2563,57.48,4961
Matheus Pereira,Matheus Pereira,228414,1327,100.0,4978
Anuar,Anuar Mohamed,225699,6918,61.98,5050
Aitor,Aitor Fernández,193314,4193,57.74,5056
Hervías,Henri Lansbury,204526,7727,57.73,5130
Joaquín,Joaquín Fernández,232132,7233,63.4,5169
M. Varnier,Marlon Ritter,235863,2702,63.33,5178
Sancet,San José,244675,2395,58.23,5288
B. Badiashile,Benoit Badiashile Mukinayi,242578,7240,59.08,5301
Sergio López,Sergio Reguilón,245287,7187,61.31,5319
Miguel,Miguel De la Fuente,240589,6924,59.04,5323
Arturo Molina,Antonio Luna,224973,2436,58.82,5326
Valery,Valery Fernández,246351,7246,60.82,5327
Bryan Gil,Bryan Gil Salvatierra,246785,7338,62.28,5356
Paulino,Paulino De la Fuente,248710,7584,61.64,5395
Rulo,Raul Moro,239615,8584,64.06,5400
Ricardo Campos,Riccardo Calafiori,245764,8129,63.52,5433
Álex,Álex Granell,246760,6116,58.22,5440
Edgar,Edgar González,247500,8142,59.73,5484
N. Phillips,Neco Williams,240926,8204,55.26,5496
Kike PIna,Kike García,245551,5074,62.17,5578
M. Gasparini,Marco Ballarini,244483,8170,55.06,5703
Quique,Quique González,189857,4188,62.8,5827
Aridane,Aridane Hernández,189472,7856,63.4,5854
E. Konsa,Ezri Konsa Ngoyo,227678,7726,60.21,5940
C. Benavente,Cristian Benavente Bristol,210112,7830,57.75,5945
Marc Gual,Marcin Bulka,236692,7772,60.55,5958
Igor,Igor Julio,241585,7943,63.87,6100
Ismael,Ismael Gutiérrez,252325,8041,60.82,6134
Gonçalo Tavares,Gonzalo Jara,232764,50,62.72,6138
H. Mbock,Hianga&#039;a M&#039;Bock,251974,8151,58.35,6191
Ander Iru,Ander Capa,255953,2125,59.55,6268
Mario,Mario Rodríguez,255393,8203,57.74,6275
Carlos Marín,Carles Aleñá,254099,5058,61.29,6312
Dani Plomer,Daniel Ojeda,255577,7022,64.2,6364
Martínez,Martin Odegaard,256096,2517,63.54,6419
